name,image,link,ratings,no_of_ratings,discount_price,actual_price,name_length,price_difference,rating_ratio,log_actual_price,discount_percentage,yeojohnson_actual,yeojohnson_discount
spigen ultra hybrid back cover compatible for google pixel 6a (tpu + pc | matte black),https://m.media-amazon.com/images/I/61hX9vFTUwL._AC_UL800_.jpg,https://www.amazon.in/Spigen-Ultra-Hybrid-Compatible-Google/dp/B09S8N8KTT/ref=sr_1_3147?qid=1679133849&s=electronics&sr=1-3147,4.4,924.0,1299.0,2099.0,86.0,800.0,0.004761904761904762,7.649692623711514,38.11338732729872,0.820069601432905,1.5780533781504353
amazonbasics 60-inch lightweight tripod with bag,https://m.media-amazon.com/images/I/51IbIneFnoL._AC_UL800_.jpg,https://www.amazon.in/AmazonBasics-60-Inch-Lightweight-Tripod-Bag/dp/B005KP473Q/ref=sr_1_3148?qid=1679133849&s=electronics&sr=1-3148,4.4,299.9622929380994,1099.0,1995.0,48.0,896.0,0.01466851035475979,7.59890045687141,44.91228070175438,0.7437719154477235,1.347975891623485
"lava hero 600i (blue green) with sleek and stylish design, 10 regional languages input support, auto call recording, wirel...",https://m.media-amazon.com/images/I/61TSM1XtOLL._AC_UL800_.jpg,https://www.amazon.in/Lava-Regional-Languages-Recording-Expandable/dp/B0BFWZ9MVT/ref=sr_1_3149?qid=1679133849&s=electronics&sr=1-3149,3.8,299.9622929380994,849.0,1199.0,125.0,350.0,0.01266825894274709,7.090076835776092,29.190992493744787,0.029679041796279795,0.992435373431105
about space multipurpose scissors set - (set of 3) stainless steel multicoloured scissors at different sizes for househol...,https://m.media-amazon.com/images/I/710lsWVLr3L._AC_UL800_.jpg,https://www.amazon.in/Kurtzy-Stainless-Steel-Scissor-Multicolor/dp/B01MR5TJ13/ref=sr_1_3149?qid=1679133851&s=electronics&sr=1-3149,4.2,299.9622929380994,299.0,599.0,124.0,300.0,0.01400175988408889,6.396929655216146,50.08347245409015,-0.8102348103522649,-0.44918014525356836
jgd products for samsung galaxy s21 fe 5g premium transparent hybrid soft slim dust proof back case cover with camera prot...,https://m.media-amazon.com/images/I/414x469ZcoL._AC_UL800_.jpg,https://www.amazon.in/JGD-PRODUCTS-Galaxy-S21-Transparent/dp/B0B71V62P4/ref=sr_1_3151?qid=1679133851&s=electronics&sr=1-3151,4.1,78.0,159.0,699.0,125.0,540.0,0.05256410256410256,6.551080335043404,77.25321888412017,-0.6355924136419053,-1.3235844619800476
"zebronics zeb smart cam 100 smart home automation wifi camera with remote monitoring, advanced motion detection, day/night...",https://m.media-amazon.com/images/I/41QmAkLVUoL._AC_UL800_.jpg,https://www.amazon.in/Zeb-Smart-Cam-100-Smartphones/dp/B08H58G91N/ref=sr_1_3152?qid=1679133851&s=electronics&sr=1-3152,3.6,299.9622929380994,1499.0,2499.0,125.0,1000.0,0.012001508472076192,7.824046010856292,40.01600640256102,1.0893265888685761,1.7749620992560247
amazonbasics stapler with 1000 staples - black,https://m.media-amazon.com/images/I/61PiyFveSWL._AC_UL800_.jpg,https://www.amazon.in/AmazonBasics-Stapler-Staples-1000-Black/dp/B01F2RAV4U/ref=sr_1_3153?qid=1679133851&s=electronics&sr=1-3153,4.3,299.9622929380994,319.0,700.0,46.0,381.0,0.014335135119424339,6.55250788703459,54.42857142857142,-0.633944036060826,-0.3595880723869534
"onumtz 30w usb-c female to lightning cable adapter, type-c to 8 pin male pd fast charging converter cord data sync connect...",https://m.media-amazon.com/images/I/31D-HfJQ8AL._AC_UL800_.jpg,https://www.amazon.in/ONUMTZ-Lightning-Charging-Converter-Connector/dp/B09X1Q7PDZ/ref=sr_1_3155?qid=1679133851&s=electronics&sr=1-3155,3.2,555.0,189.0,999.0,125.0,810.0,0.005765765765765766,6.907755278982137,81.08108108108108,-0.20526698702711738,-1.0842184327602267
"humble® universal mobile holder for car windshield/dashboard with one touch technology phone stand for car, extendable arm...",https://m.media-amazon.com/images/I/61OuLuEmdoL._AC_UL800_.jpg,https://www.amazon.in/Universal-Windshield-Dashboard-Technology-Extendable/dp/B09X6X1NP7/ref=sr_1_3156?qid=1679133851&s=electronics&sr=1-3156,3.9,512.0,299.0,699.0,125.0,400.0,0.0076171875,6.551080335043404,57.224606580829764,-0.6355924136419053,-0.44918014525356836
"bestor lcd writing tablet 10 inch, colorful doodle board drawing pad for kids, drawing board writing board drawing tablet,...",https://m.media-amazon.com/images/I/61Vx38FF31L._AC_UL800_.jpg,https://www.amazon.in/BESTOR-Writing-Colorful-Educational-Christmas/dp/B0B3RDRMCY/ref=sr_1_3157?qid=1679133851&s=electronics&sr=1-3157,3.8,693.0,499.0,999.0,125.0,500.0,0.005483405483405483,6.907755278982137,50.050050050050054,-0.20526698702711738,0.259020138783283
"sandisk ultra eco usb flash drive usb 3.2 gen 1 128gb, upto 100mb/s r, 5y warranty",https://m.media-amazon.com/images/I/71nf0sq-ouL._AC_UL800_.jpg,https://www.amazon.in/SanDisk-Ultra-Flash-Drive-Warranty/dp/B0BJQ42QT5/ref=sr_1_3158?qid=1679133851&s=electronics&sr=1-3158,4.2,15.0,979.0,1800.0,82.0,821.0,0.28,7.496097345175956,45.611111111111114,0.5922244053507456,1.1887525813257949
amazon brand - solimo back cover for oneplus 7t (silicone_transparent),https://m.media-amazon.com/images/I/51f5c0e-qvL._AC_UL800_.jpg,https://www.amazon.in/Amazon-Brand-Flexible-Transparent-Oneplus/dp/B08QNR7BFY/ref=sr_1_3159?qid=1679133851&s=electronics&sr=1-3159,4.0,237.0,139.0,499.0,70.0,360.0,0.016877637130801686,6.214608098422191,72.14428857715431,-1.0084474860186226,-1.5097434015098568
